Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Transparent Adhesive Glue Gun Sticks","glue",1,2.23,"https://makerbazar.in/products/glue-gun-sticks?variant=48804713365744","makerbazar"
"Fixwell: Strong Instant Adhesive Glue","glue",1,1.05,"https://makerbazar.in/products/fixwell-strong-instant-adhesive-glue?variant=46353854726384","makerbazar"
"18 awg wire","wire",2,0.76,"https://robu.in/product/18awg-silicone-braided-wire-black-high-flex","robu"
"Black Waterproof PBS- 33B 12MM 2PIN Self-Reset Mini Round Push Button","switch",1,1.19,"https://robu.in/product/black-waterproof-pbs-33b-12mm-2pin-self-reset-mini-round-push-button","robu"
"Rubber Passive Radiator Bass Vibration Plates","plates",2,1.52,"https://makerbazar.in/products/rubber-passive-radiator-bass-vibration-plates-2040-6090?variant=48251037450480","maker bazar"
"KCD1 Round Rocker SPST Switch 2 Leg 6A 250V","switch",1,0.14,"https://makerbazar.in/products/round-rocker-switch-2-leg-pack-of-2-spst?variant=42143153684720","makerbazar"
"Female DC Barrel Power Jack Plug Connector","connectors",1,0.01,"https://makerbazar.in/products/power-connector-dc-jack?variant=49458419630320","makerbazar"
"Speaker","speaker",2,4.22,"https://makerbazar.in/products/2-25-inch-speaker-8ohm-8w?variant=48829026533616","maker bazar"
"Audio amplifier","driver",1,4.24,"https://www.amazon.in/XY-P15W-Bluetooth-5-0-Amplifier-Board/dp/B0F3JWZQJM/ref=asc_df_B0F3JWZQJM?mcid=afd9fd40b8033b0a89610ad1b71d357c&tag=googleshopdes-21&linkCode=df0&hvadid=709857096849&hvpos=&hvnetw=g&hvrand=8494360985938617332&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1007816&hvtargid=pla-2420529300860&psc=1&hvocijid=8494360985938617332-B0F3JWZQJM-&hvexpln=0&gad_source=1","amazon"
"FEDUS 12V 2Amp DC Power Supply Adapter Converter, 12 Volt 2A SMPS for CCTV Camera, Routers, DVR, NVR, LCD Monitor, TV, LED Strip Light, Setup Box, Broadband, AC Input 100-240V, DC Output 12v 2amps","power",1,4.16,"https://www.amazon.in/dp/B015HB2FOU?ref=cm_sw_r_cp_ud_dp_GZZHCBRFEAVT4GNMY2NB&ref_=cm_sw_r_cp_ud_dp_GZZHCBRFEAVT4GNMY2NB&social_share=cm_sw_r_cp_ud_dp_GZZHCBRFEAVT4GNMY2NB&th=1","amazon"